repo,url,stars,language,license,last_push,snapshot
browser-use/jev-ultrafast,https://github.com/browser-use/jev-ultrafast,7798,Python,MIT,2026-09-18,2026-09-19
tamaratran/fast-jev-compaction,https://github.com/tamaratran/fast-jev-compaction,4031,TypeScript,MIT,2026-09-18,2026-09-19
TheoLeeCJ/SemIf,https://github.com/TheoLeeCJ/SemIf,1839,Python,MIT,2026-09-19,2026-09-19
jarrodwatts/jev-trader,https://github.com/jarrodwatts/jev-trader,1184,TypeScript,MIT,2026-09-17,2026-09-19
vinnylarouge/jevlike,https://github.com/vinnylarouge/jevlike,961,Python,MIT,2026-09-16,2026-09-19
vercel-labs/ai-cli,https://github.com/vercel-labs/ai-cli,805,TypeScript,,2026-09-19,2026-09-19
awlevin/typesafe-computer-use,https://github.com/awlevin/typesafe-computer-use,456,Python,MIT,2026-09-18,2026-09-19
jaredpalmer/kev,https://github.com/jaredpalmer/kev,423,Python,Apache-2.0,2026-09-19,2026-09-19
thruwire/foreman,https://github.com/thruwire/foreman,359,Python,MIT,2026-09-19,2026-09-19
devagrawal09/jev-review,https://github.com/devagrawal09/jev-review,326,TypeScript,MIT,2026-09-17,2026-09-19
fhshaik/typesafe-mario,https://github.com/fhshaik/typesafe-mario,278,Python,,2026-09-16,2026-09-19
droidrun/mobile-jev,https://github.com/droidrun/mobile-jev,209,JavaScript,MIT,2026-09-17,2026-09-19
realZachi/pg-jev,https://github.com/realZachi/pg-jev,204,Shell,NOASSERTION,2026-09-18,2026-09-19
superagents-lab/jev-search,https://github.com/superagents-lab/jev-search,199,TypeScript,MIT,2026-09-19,2026-09-19
gargpratyush/jev-router,https://github.com/gargpratyush/jev-router,191,JavaScript,MIT,2026-09-19,2026-09-19
kitze/skillbox,https://github.com/kitze/skillbox,188,TypeScript,MIT,2026-09-19,2026-09-19
wy-coliney/jev-browser-use,https://github.com/wy-coliney/jev-browser-use,176,JavaScript,MIT,2026-09-19,2026-09-19
hr98w/jev-visual,https://github.com/hr98w/jev-visual,138,Python,MIT,2026-09-18,2026-09-19
jkudish/jev-browser,https://github.com/jkudish/jev-browser,135,TypeScript,MIT,2026-09-19,2026-09-19
kitze/unclutter,https://github.com/kitze/unclutter,129,TypeScript,MIT,2026-09-18,2026-09-19
razorback16/openjev,https://github.com/razorback16/openjev,113,Python,Apache-2.0,2026-09-18,2026-09-19
dbreunig/building-with-jev-skill,https://github.com/dbreunig/building-with-jev-skill,113,,,2026-09-17,2026-09-19
moritzkremb/jev-voice-browser,https://github.com/moritzkremb/jev-voice-browser,110,JavaScript,MIT,2026-09-17,2026-09-19
itsmostafa/typesafe-mcp,https://github.com/itsmostafa/typesafe-mcp,97,Go,MIT,2026-09-18,2026-09-19
jkudish/jev-mcp,https://github.com/jkudish/jev-mcp,92,TypeScript,MIT,2026-09-19,2026-09-19
DevMortimer/pi-warden,https://github.com/DevMortimer/pi-warden,90,TypeScript,MIT,2026-09-19,2026-09-19
vinilana/jev-eval-agent,https://github.com/vinilana/jev-eval-agent,89,HTML,,2026-09-17,2026-09-19
logan-markewich/jeff,https://github.com/logan-markewich/jeff,87,Python,MIT,2026-09-19,2026-09-19
Mapika/decider,https://github.com/Mapika/decider,86,Python,Apache-2.0,2026-09-19,2026-09-19
pithings/advocaat,https://github.com/pithings/advocaat,84,TypeScript,MIT,2026-09-18,2026-09-19
BillionsBobby/JevRouter,https://github.com/BillionsBobby/JevRouter,81,TypeScript,MIT,2026-09-19,2026-09-19
tamaratran/jev-pruner,https://github.com/tamaratran/jev-pruner,80,TypeScript,MIT,2026-09-19,2026-09-19
giuliosmall/pg_typesafe,https://github.com/giuliosmall/pg_typesafe,77,C,MIT,2026-09-18,2026-09-19
RomanSlack/jev-drone,https://github.com/RomanSlack/jev-drone,71,Python,MIT,2026-09-17,2026-09-19
mrnugget/jev-shell-history,https://github.com/mrnugget/jev-shell-history,63,TypeScript,,2026-09-18,2026-09-19
realZachi/typesafe-adblock,https://github.com/realZachi/typesafe-adblock,53,JavaScript,MIT,2026-09-17,2026-09-19
socai-io/jev-social,https://github.com/socai-io/jev-social,47,JavaScript,MIT,2026-09-23,2026-09-23
RafalWilinski/vibecheck,https://github.com/RafalWilinski/vibecheck,41,JavaScript,,2026-09-18,2026-09-19
